customer_id,customer_name,region,industry,credit_balance,risk_score,risk_level,loan_type,report_date
C001,华信科技有限公司,华东,制造业,5800,45,中,流动资金贷款,2025-06-01
C002,盛达贸易集团,华南,批发零售,3200,72,高,贸易融资,2025-06-01
C003,恒远制造股份,华北,制造业,8900,38,低,项目贷款,2025-06-01
C004,天宇建筑工程,西南,建筑,2100,81,极高,流动资金贷款,2025-06-01
C005,创新软件科技,华东,信息技术,4500,52,中,科技贷款,2025-06-01
C006,绿源环保科技,华中,环保,1800,65,高,绿色信贷,2025-06-01
C007,海通物流有限,华南,物流,3600,41,中,流动资金贷款,2025-06-01
C008,金鼎餐饮管理,华北,餐饮,950,58,中,小微企业贷,2025-06-01
C009,博远医疗器械,华东,医疗,6200,35,低,项目贷款,2025-06-01
C010,瑞丰农业开发,华中,农业,1400,68,高,涉农贷款,2025-06-01
C011,智联教育集团,华南,教育,2800,48,中,流动资金贷款,2025-06-01
C012,远洋船舶工程,华东,船舶,7500,55,中,项目贷款,2025-06-01
C013,星辰文化传媒,华北,文化,1200,62,高,文化贷款,2025-06-01
C014,鼎盛房地产,西南,房地产,12000,78,高,开发贷款,2025-06-01
C015,先锋新能源,华南,新能源,5100,42,中,绿色信贷,2025-06-01
C016,宏达钢铁集团,华北,钢铁,9800,71,高,流动资金贷款,2025-06-01
C017,优品电商平台,华东,互联网,3900,50,中,科技贷款,2025-06-01
C018,安泰保险代理,华中,金融,2200,44,中,流动资金贷款,2025-06-01
C019,嘉诚律师事务所,华北,专业服务,800,36,低,小微企业贷,2025-06-01
C020,汇通跨境贸易,华南,批发零售,4100,74,高,贸易融资,2025-06-01
