customer_id,customer_name,region,industry,credit_balance,loan_balance,overdue_days,crr_level,risk_level,risk_score,cooperation_years,legal_cases,negative_news_count,related_party_risk
C001,华信科技有限公司,华东,制造业,5800,4200,0,C,中,45,5,0,0,低
C002,盛达贸易集团,华南,批发零售,3200,2800,15,C,高,72,3,2,1,中
C003,恒远制造股份,华北,制造业,8900,6500,0,B,低,38,8,0,0,低
C004,天宇建筑工程,西南,建筑,2100,1800,30,D,极高,81,2,3,2,高
C005,创新软件科技,华东,信息技术,4500,3200,0,B,中,52,4,0,0,低
C006,绿源环保科技,华中,环保,1800,1500,0,C,高,65,2,1,0,中
C007,鼎盛房地产,西南,房地产,12000,10500,0,D,高,78,6,1,3,高
C008,宏达钢铁集团,华北,钢铁,9800,8200,7,C,高,71,7,0,1,中
C009,瑞丰农业开发,华中,农业,1400,1200,0,C,高,68,3,0,0,低
C010,汇通跨境贸易,华南,批发零售,4100,3600,0,C,高,74,4,2,1,中
